wl,CIE1931_x,CIE1931_y,CIE1931_z,CIE1964_x,CIE1964_y,CIE1964_z
543,0.3314384000,0.9712606000,0.0158636400,0.4215390000,0.9761700000,0.0099150000
544,0.3454828000,0.9760225000,0.0145846100,0.4365170000,0.9794600000,0.0088720000
545,0.3597000000,0.9803000000,0.0134000000,0.4515840000,0.9822000000,0.0079180000
546,0.3740839000,0.9840924000,0.0123072300,0.4667820000,0.9845200000,0.0070300000
547,0.3886396000,0.9874182000,0.0113018800,0.4821470000,0.9865200000,0.0062230000
548,0.4033784000,0.9903128000,0.0103779200,0.4977380000,0.9883200000,0.0054530000
549,0.4183115000,0.9928116000,0.0095293060,0.5136060000,0.9900200000,0.0047140000
550,0.4334499000,0.9949501000,0.0087499990,0.5298260000,0.9917610000,0.0039880000
551,0.4487953000,0.9967108000,0.0080352000,0.5464400000,0.9935300000,0.0032890000
552,0.4643360000,0.9980983000,0.0073816000,0.5634260000,0.9952300000,0.0026460000
553,0.4800640000,0.9991120000,0.0067854000,0.5807260000,0.9967700000,0.0020630000
554,0.4959713000,0.9997482000,0.0062428000,0.5982900000,0.9980900000,0.0015330000
555,0.5120501000,1.0000000000,0.0057499990,0.6160530000,0.9991100000,0.0010910000
556,0.5282959000,0.9998567000,0.0053036000,0.6339480000,0.9997700000,0.0007110000
557,0.5446916000,0.9993046000,0.0048998000,0.6519010000,1.0000000000,0.0004070000
558,0.5612094000,0.9983255000,0.0045342000,0.6698240000,0.9997100000,0.0001840000
559,0.5778215000,0.9968987000,0.0042024000,0.6876320000,0.9988500000,0.0000470000
560,0.5945000000,0.9950000000,0.0039000000,0.7052240000,0.9973400000,0.0000000000
561,0.6112209000,0.9926005000,0.0036232000,0.7227730000,0.9952600000,0.0000000000
562,0.6279758000,0.9897426000,0.0033706000,0.7404830000,0.9927400000,0.0000000000
563,0.6447602000,0.9864444000,0.0031414000,0.7582730000,0.9897500000,0.0000000000
564,0.6615697000,0.9827241000,0.0029348000,0.7760830000,0.9863000000,0.0000000000
565,0.6784000000,0.9786000000,0.0027499990,0.7938320000,0.9823800000,0.0000000000
566,0.6952392000,0.9740837000,0.0025852000,0.8114360000,0.9779800000,0.0000000000
567,0.7120586000,0.9691712000,0.0024386000,0.8288220000,0.9731100000,0.0000000000
568,0.7288284000,0.9638568000,0.0023094000,0.8458790000,0.9677400000,0.0000000000
569,0.7455188000,0.9581349000,0.0021968000,0.8625250000,0.9618900000,0.0000000000
570,0.7621000000,0.9520000000,0.0021000000,0.8786550000,0.9555520000,0.0000000000
571,0.7785432000,0.9454504000,0.0020177330,0.8942080000,0.9486010000,0.0000000000
572,0.7948256000,0.9384992000,0.0019482000,0.9092060000,0.9409810000,0.0000000000
573,0.8109264000,0.9311628000,0.0018898000,0.9236720000,0.9327980000,0.0000000000
574,0.8268248000,0.9234576000,0.0018409330,0.9376380000,0.9241580000,0.0000000000
575,0.8425000000,0.9154000000,0.0018000000,0.9511620000,0.9151750000,0.0000000000
576,0.8579325000,0.9070064000,0.0017662670,0.9642830000,0.9059540000,0.0000000000
577,0.8730816000,0.8982772000,0.0017378000,0.9770680000,0.8966080000,0.0000000000
578,0.8878944000,0.8892048000,0.0017112000,0.9895900000,0.8872490000,0.0000000000
579,0.9023181000,0.8797816000,0.0016830670,1.0019100000,0.8779860000,0.0000000000
580,0.9163000000,0.8700000000,0.0016500010,1.0141600000,0.8689340000,0.0000000000
581,0.9297995000,0.8598613000,0.0016101330,1.0265000000,0.8601640000,0.0000000000
582,0.9427984000,0.8493920000,0.0015644000,1.0388000000,0.8515190000,0.0000000000
583,0.9552776000,0.8386220000,0.0015136000,1.0510000000,0.8429630000,0.0000000000
584,0.9672179000,0.8275813000,0.0014585330,1.0629000000,0.8343930000,0.0000000000
585,0.9786000000,0.8163000000,0.0014000000,1.0743000000,0.8256230000,0.0000000000
586,0.9893856000,0.8047947000,0.0013366670,1.0852000000,0.8167640000,0.0000000000
587,0.9995488000,0.7930820000,0.0012700000,1.0952000000,0.8075440000,0.0000000000
588,1.0090892000,0.7811920000,0.0012050000,1.1042000000,0.7979470000,0.0000000000
589,1.0180064000,0.7691547000,0.0011466670,1.1120000000,0.7878930000,0.0000000000
590,1.0263000000,0.7570000000,0.0011000000,1.1185200000,0.7774050000,0.0000000000
591,1.0339827000,0.7447541000,0.0010688000,1.1238000000,0.7664900000,0.0000000000
592,1.0409860000,0.7324224000,0.0010494000,1.1280000000,0.7553090000,0.0000000000
593,1.0471880000,0.7200036000,0.0010356000,1.1311000000,0.7438450000,0.0000000000
