wl,410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm
402,0.6958084495379866,0.0010286176002613284,3.3693567532326986e-9,2.4016840479793047e-18,6.230059092016654e-29,4.6295102545507987e-39,3.200208960535312e-57,2.353878497638823e-78,8.854211029411831e-112,3.703570340840077e-139,4.5528158025949495e-177,3.5593605697486265e-231,6.4220822297994e-241,2.2881601049845297e-294
403,0.7628339343870688,0.0015943117229547097,6.536717025846843e-9,5.209651973898492e-18,1.3870650631353678e-28,1.0356907031032696e-38,7.192271242141503e-57,5.294965678564071e-78,1.9921576099250194e-111,8.332964161704352e-139,1.0243813840554384e-176,8.008560501059745e-231,1.4449681951843126e-240,5.148360092161211e-294
404,0.8222789461574339,0.0023162198970987278,1.0857769532307324e-8,9.118858599878455e-18,2.4550795847127134e-28,1.8368699671676395e-38,1.2780244255831794e-56,9.412346253659545e-78,3.541584143405903e-111,1.481410775191242e-138,1.821120868360921e-176,1.4237440315655241e-230,2.56883212238979e-240,9.152640058014062e-294
405,0.86801,0.003184,1.6316e-8,1.4126e-17,3.8267999999999996e-28,2.8664e-38,1.9964000000000002e-56,1.4706e-77,5.5337e-111,2.3147e-138,2.8454999999999997e-176,2.2245999999999997e-230,4.0138e-240,1.4301e-293
406,0.9053078911545422,0.004582199382570817,3.4976351714810784e-8,7.623383647629408e-17,6.149047990811284e-27,8.4396584816452192e-37,2.8412642592972755e-54,9.895521110084313e-75,4.3275206817559666e-107,4.462300989156325e-134,2.170076971152543e-171,3.585402896310014e-224,3.0710452135713073e-234,8.168001858313476e-287
407,0.9409877775488601,0.0068541157160539245,7.86048375155075e-8,2.5114646045461906e-16,2.313525794793413e-26,3.266458874757562e-36,1.128880829256118e-53,3.952590494994375e-74,1.7307967555233858e-106,1.7848319663474497e-133,8.680199206870299e-171,1.434160308293809e-223,1.22841655259381e-233,3.2672001971088435e-286
408,0.9712177183659068,0.009927532358251622,1.467365474587988e-7,5.38412566194797e-16,5.1329015909651325e-26,7.29533457726834e-36,2.536200579617644e-53,8.890541063476104e-74,3.894187543583376e-106,4.01582804312145e-133,1.9530394339011784e-170,3.226860271125115e-223,2.763936483703923e-233,7.351200172674665e-286
409,0.9921657727886356,0.013730232666966213,2.3890657160139346e-7,9.375808479566499e-16,9.071802791424569e-26,1.2929784453186075e-35,4.506026646652779e-53,1.5803359127971892e-73,6.922922576895577e-106,7.139217623063635e-133,3.472066154443552e-170,5.736640170801616e-223,4.913664303301357e-233,1.306880010836099e-285
410,1,0.01819,3.5465e-7,1.4482e-15,1.4129e-25,2.0168999999999997e-35,7.038299999999998e-53,2.4691e-73,1.0816999999999998e-105,1.1155e-132,5.4250999999999996e-170,8.963499999999999e-223,7.677599999999998e-233,2.0419999999999997e-285
411,0.9917154277280191,0.02454856614772665,6.796212451744497e-7,6.299789993170934e-15,1.744104051518013e-24,4.64534229219569e-34,7.678262980228594e-51,1.2626903778886638e-70,6.269808752397159e-102,1.6319050515735752e-128,3.1793504875133373e-165,1.0757611670030777e-216,4.534409972616591e-227,8.946802653444423e-279
